persistence_impl,scenario,runtime,jobs
lmdb,fresh,1.6307,210
lmdb,fresh,1.0116,210
lmdb,fresh,0.9872,210
lmdb,fresh,0.9922,210
lmdb,fresh,0.9653,210
lmdb,resume25,1.0485,210
lmdb,resume25,1.087,210
lmdb,resume25,1.1135,210
lmdb,resume25,1.0577,210
lmdb,resume25,1.0542,210
lmdb,resume50,1.4017,210
lmdb,resume50,1.9877,210
lmdb,resume50,1.9444,210
lmdb,resume50,1.3999,210
lmdb,resume50,1.2953,210
lmdb,resume75,1.8964,210
lmdb,resume75,1.7948,210
lmdb,resume75,1.8876,210
lmdb,resume75,1.7985,210
lmdb,resume75,0.9993,210
lmdb,codechange,1.0165,210
lmdb,codechange,1.0327,210
lmdb,codechange,1.0026,210
lmdb,codechange,1.0949,210
lmdb,codechange,0.9947,210
lmdb,paramchange,1.2248,210
lmdb,paramchange,1.6677,210
lmdb,paramchange,1.0809,210
lmdb,paramchange,1.0623,210
lmdb,paramchange,1.0655,210
json,fresh,1.6013,210
json,fresh,1.0285,210
json,fresh,0.986,210
json,fresh,1.0176,210
json,fresh,1.0045,210
json,resume25,1.3962,210
json,resume25,1.063,210
json,resume25,1.0652,210
json,resume25,1.0457,210
json,resume25,1.0468,210
json,resume50,1.3376,210
json,resume50,1.0316,210
json,resume50,1.7128,210
json,resume50,2.0953,210
json,resume50,1.4063,210
json,resume75,1.4141,210
json,resume75,1.0074,210
json,resume75,1.5961,210
json,resume75,1.8061,210
json,resume75,1.316,210
json,codechange,1.0386,210
json,codechange,1.03,210
json,codechange,1.0515,210
json,codechange,1.0358,210
json,codechange,1.0289,210
json,paramchange,1.389,210
json,paramchange,1.9393,210
json,paramchange,1.848,210
json,paramchange,1.8,210
json,paramchange,1.7209,210
